"Дата","0 - 19","20 - 29","30 - 39","40 - 49","50 - 59","60 - 69","70 - 79","80 - 89","90+"
"2020/07/17","816","1072","1358","1452","1503","1148","589","181","25"
"2020/07/18","846","1116","1425","1507","1558","1173","605","187","25"
"2020/07/19","869","1142","1456","1544","1590","1198","623","191","25"
"2020/07/20","877","1161","1473","1561","1608","1209","628","191","25"
"2020/07/21","901","1191","1513","1602","1634","1234","636","193","25"
"2020/07/22","928","1258","1561","1655","1693","1281","658","195","25"
"2020/07/23","960","1306","1614","1720","1750","1327","678","204","25"
"2020/07/24","985","1345","1667","1760","1801","1364","696","210","25"
"2020/07/25","1008","1371","1711","1818","1850","1402","719","217","27"
"2020/07/26","1029","1416","1735","1854","1878","1425","728","220","27"
"2020/07/27","1040","1432","1753","1879","1896","1440","736","224","27"
"2020/07/28","1055","1442","1792","1913","1926","1477","758","231","27"
"2020/07/29","1070","1459","1830","1964","1980","1522","784","235","27"
"2020/07/30","1088","1491","1876","2002","2033","1567","812","258","28"
"2020/07/31","1102","1521","1922","2052","2088","1603","836","268","28"
"2020/08/01","1108","1544","1949","2112","2135","1640","870","298","34"
"2020/08/02","1115","1556","1968","2138","2154","1667","887","315","36"
"2020/08/03","1116","1557","1976","2157","2174","1685","910","340","40"
"2020/08/04","1129","1580","2004","2202","2226","1708","926","343","41"
"2020/08/05","1143","1603","2045","2238","2277","1763","953","351","41"
"2020/08/06","1158","1628","2095","2305","2341","1796","983","368","43"
"2020/08/07","1179","1660","2140","2357","2396","1841","1010","384","47"
"2020/08/08","1185","1692","2161","2384","2449","1868","1032","391","47"
"2020/08/09","1191","1702","2181","2408","2475","1899","1047","393","47"
"2020/08/10","1193","1705","2187","2420","2485","1912","1051","396","47"
"2020/08/11","1198","1714","2200","2443","2519","1929","1062","400","47"
"2020/08/12","1240","1727","2223","2474","2554","1970","1081","405","48"
"2020/08/13","1247","1743","2252","2510","2582","2001","1097","413","48"
"2020/08/14","1260","1758","2277","2552","2618","2026","1109","421","48"
"2020/08/15","1268","1773","2300","2577","2656","2063","1127","430","49"
"2020/08/16","1274","1780","2316","2588","2678","2078","1135","435","49"
"2020/08/17","1275","1784","2320","2593","2683","2086","1140","435","49"
"2020/08/18","1283","1798","2340","2619","2709","2111","1152","439","49"
"2020/08/19","1294","1809","2364","2641","2748","2146","1169","446","52"
"2020/08/20","1300","1818","2385","2669","2784","2178","1181","453","52"
"2020/08/21","1303","1838","2410","2688","2804","2205","1198","461","55"
"2020/08/22","1314","1850","2429","2720","2824","2241","1229","469","55"
"2020/08/23","1318","1866","2452","2731","2845","2250","1240","470","55"
"2020/08/24","1321","1870","2462","2739","2857","2263","1247","473","55"
"2020/08/25","1325","1878","2476","2756","2877","2287","1251","480","56"
"2020/08/26","1308","1903","2520","2802","2915","2323","1279","483","56"
"2020/08/27","1318","1918","2539","2828","2945","2363","1296","487","57"
"2020/08/28","1329","1943","2563","2853","2971","2387","1312","493","57"
"2020/08/29","1341","1957","2591","2877","3004","2404","1336","498","57"
"2020/08/30","1344","1967","2602","2897","3021","2426","1347","502","58"
"2020/08/31","1344","1970","2604","2900","3022","2434","1352","506","58"
"2020/09/01","1347","1979","2620","2915","3032","2450","1355","509","59"
"2020/09/02","1354","1992","2648","2946","3065","2486","1384","520","59"
"2020/09/03","1363","2012","2673","2979","3091","2515","1401","524","59"
"2020/09/04","1372","2031","2693","3000","3114","2548","1424","533","60"
"2020/09/05","1379","2064","2732","3025","3151","2569","1438","535","61"
"2020/09/06","1383","2074","2755","3031","3170","2579","1450","545","63"
"2020/09/07","1385","2078","2761","3037","3177","2588","1453","547","63"
"2020/09/08","1394","2083","2770","3040","3194","2595","1456","551","63"
"2020/09/09","1406","2103","2799","3067","3225","2622","1473","555","63"
"2020/09/10","1411","2117","2816","3087","3256","2643","1485","557","63"
"2020/09/11","1421","2131","2847","3112","3289","2675","1501","558","64"
"2020/09/12","1428","2153","2897","3148","3326","2704","1516","562","65"
"2020/09/13","1430","2161","2915","3170","3342","2717","1524","567","65"
"2020/09/14","1430","2162","2920","3173","3345","2729","1525","569","65"
"2020/09/15","1432","2182","2934","3200","3379","2759","1535","575","65"
"2020/09/16","1440","2192","2957","3222","3409","2799","1555","577","65"
"2020/09/17","1452","2208","2995","3258","3425","2827","1574","585","66"
"2020/09/18","1460","2220","3014","3284","3467","2853","1592","587","67"
"2020/09/19","1472","2245","3040","3315","3508","2885","1608","593","67"
"2020/09/20","1482","2251","3050","3331","3532","2899","1613","594","67"
"2020/09/21","1487","2251","3056","3339","3539","2909","1620","595","67"
"2020/09/22","1505","2264","3079","3366","3570","2931","1633","599","67"
"2020/09/23","1514","2274","3099","3392","3583","2948","1643","603","67"
"2020/09/24","1529","2287","3123","3416","3614","2978","1664","605","67"
"2020/09/25","1545","2310","3174","3475","3675","3013","1699","615","67"
"2020/09/26","1565","2331","3209","3523","3723","3065","1716","628","68"
"2020/09/27","1583","2345","3225","3562","3755","3094","1727","638","68"
"2020/09/28","1588","2352","3237","3575","3764","3098","1733","640","68"
"2020/09/29","1597","2369","3258","3616","3828","3137","1756","642","68"
"2020/09/30","1620","2400","3303","3674","3871","3185","1777","649","68"
"2020/10/01","1646","2443","3338","3728","3931","3226","1793","658","70"
"2020/10/02","1668","2474","3374","3768","3977","3277","1818","670","70"
"2020/10/03","1681","2501","3414","3813","4031","3310","1845","671","70"
"2020/10/04","1696","2523","3455","3847","4048","3339","1859","681","70"
"2020/10/05","1704","2532","3466","3860","4059","3348","1867","681","70"
"2020/10/06","1724","2577","3510","3908","4118","3379","1890","692","72"
"2020/10/07","1750","2624","3584","4014","4207","3431","1925","699","72"
"2020/10/08","1775","2668","3659","4101","4292","3509","1951","716","72"
"2020/10/09","1809","2736","3744","4210","4389","3590","1987","721","73"
"2020/10/10","1859","2800","3848","4335","4505","3688","2028","735","73"
"2020/10/11","1889","2868","3927","4421","4580","3755","2055","751","73"
"2020/10/12","1892","2882","3942","4443","4593","3764","2060","752","74"
"2020/10/13","1931","2942","4042","4555","4722","3853","2097","771","76"
"2020/10/14","1972","3022","4182","4722","4878","3972","2161","788","77"
"2020/10/15","2033","3126","4343","4892","5039","4072","2204","806","78"
"2020/10/16","2093","3253","4502","5060","5210","4210","2277","822","80"
"2020/10/17","2133","3362","4708","5279","5416","4348","2335","843","81"
"2020/10/18","2183","3442","4815","5386","5542","4423","2374","860","83"
"2020/10/19","2198","3499","4917","5466","5622","4459","2393","866","83"
"2020/10/20","2262","3600","5092","5669","5837","4633","2467","880","87"
"2020/10/21","2352","3791","5365","5953","6068","4781","2562","903","88"
"2020/10/22","2439","4006","5611","6261","6325","4971","2675","954","93"
"2020/10/23","2560","4231","5918","6565","6615","5185","2765","991","100"
"2020/10/24","2654","4411","6175","6963","6934","5414","2850","1011","107"
"2020/10/25","2713","4537","6420","7166","7100","5546","2932","1036","112"
"2020/10/26","2736","4645","6465","7208","7145","5590","2944","1044","112"
"2020/10/27","2853","4897","6931","7759","7563","5871","3063","1080","115"
"2020/10/28","2996","5245","7449","8363","8030","6199","3184","1116","119"
"2020/10/29","3136","5599","8026","8966","8565","6559","3332","1156","122"
"2020/10/30","3291","5908","8592","9572","9072","6907","3486","1197","125"
"2020/10/31","3483","6223","9132","10218","9635","7308","3665","1247","130"
"2020/11/01","3568","6418","9510","10614","9978","7548","3786","1290","132"
"2020/11/02","3619","6567","9771","10911","10225","7676","3858","1306","136"
"2020/11/03","3727","6836","10250","11459","10679","8028","4024","1355","138"
"2020/11/04","3882","7211","11053","12386","11513","8585","4301","1455","151"
"2020/11/05","4034","7620","11841","13307","12322","9188","4574","1548","157"
"2020/11/06","4196","8020","12568","14108","13074","9746","4842","1626","165"
"2020/11/07","4346","8397","13268","14900","13856","10364","5174","1704","175"
"2020/11/08","4436","8626","13696","15397","14284","10745","5351","1770","180"
"2020/11/09","4466","8698","13833","15531","14401","10853","5419","1778","181"
"2020/11/10","4583","9040","14553","16407","15195","11443","5703","1865","187"
"2020/11/11","4707","9490","15356","17357","16118","12133","6027","1982","196"
"2020/11/12","4806","9821","16061","18177","16963","12809","6374","2097","203"
"2020/11/13","4887","10094","16662","18943","17715","13353","6659","2197","215"
"2020/11/14","4997","10484","17380","19817","18647","14004","7077","2310","221"
"2020/11/15","5067","10716","17802","20333","19127","14471","7316","2374","229"
"2020/11/16","5075","10775","17911","20495","19310","14633","7423","2399","230"
"2020/11/17","5145","11080","18568","21233","20048","15250","7710","2501","235"
"2020/11/18","5256","11482","19399","22261","21088","16079","8143","2640","250"
"2020/11/19","5340","11793","20027","23042","21971","16808","8544","2753","258"
"2020/11/20","5438","12134","20635","23782","22859","17469","8948","2891","279"
"2020/11/21","5526","12458","21264","24533","23702","18208","9351","3072","304"
"2020/11/22","5586","12622","21597","24982","24177","18606","9614","3193","320"
"2020/11/23","5606","12694","21763","25197","24387","18834","9761","3250","328"
"2020/11/24","5666","12957","22258","25852","25088","19365","10088","3359","333"
"2020/11/25","5772","13258","22938","26753","26118","20140","10545","3477","347"
"2020/11/26","5861","13573","23506","27466","26913","20831","10946","3602","362"
"2020/11/27","5929","13821","23999","28131","27683","21561","11375","3757","372"
"2020/11/28","6010","14062","24516","28745","28358","22240","11764","3879","381"
"2020/11/29","6044","14199","24782","29026","28733","22608","11999","3967","389"
"2020/11/30","6059","14252","24897","29152","28890","22752","12092","4001","391"
"2020/12/01","6120","14430","25284","29739","29495","23307","12415","4104","406"
"2020/12/02","6177","14678","25777","30393","30306","24006","12778","4245","415"
"2020/12/03","6230","14895","26252","30955","30980","24612","13177","4388","424"
"2020/12/04","6272","15129","26725","31563","31672","25246","13638","4519","429"
"2020/12/05","6350","15349","27235","32243","32469","25967","14063","4685","446"
"2020/12/06","6400","15491","27535","32649","32879","26365","14304","4771","450"
"2020/12/07","6421","15546","27628","32748","32971","26474","14384","4796","453"
